Sno,violations,time
60,No Violations,"Thu, 13 Jan 2022 17:52:34 GMT"
61,No Violations,"Thu, 13 Jan 2022 17:52:36 GMT"
62,No Violations,"Thu, 13 Jan 2022 17:52:38 GMT"
63,No Violations,"Thu, 13 Jan 2022 17:52:40 GMT"
64,No Violations,"Thu, 13 Jan 2022 17:52:42 GMT"
65,No Violations,"Thu, 13 Jan 2022 17:52:43 GMT"
66,No Violations,"Thu, 13 Jan 2022 17:52:45 GMT"
67,No Violations,"Thu, 13 Jan 2022 17:52:47 GMT"
68,No Violations,"Thu, 13 Jan 2022 17:52:48 GMT"
69,No Violations,"Thu, 13 Jan 2022 17:52:50 GMT"
70,No Violations,"Thu, 13 Jan 2022 17:52:51 GMT"
71,No Violations,"Thu, 13 Jan 2022 17:52:53 GMT"
72,No Violations,"Thu, 13 Jan 2022 17:52:54 GMT"
73,No Violations,"Thu, 13 Jan 2022 17:52:56 GMT"
74,No Violations,"Thu, 13 Jan 2022 17:52:57 GMT"
75,No Violations,"Thu, 13 Jan 2022 17:52:59 GMT"
76,No Violations,"Thu, 13 Jan 2022 17:53:00 GMT"
77,No Violations,"Thu, 13 Jan 2022 17:53:02 GMT"
78,No Violations,"Thu, 13 Jan 2022 17:53:04 GMT"
79,No Violations,"Thu, 13 Jan 2022 17:53:05 GMT"
80,No Violations,"Thu, 13 Jan 2022 17:53:07 GMT"
81,No Violations,"Thu, 13 Jan 2022 17:53:09 GMT"
82,No Violations,"Thu, 13 Jan 2022 17:53:10 GMT"
83,No Violations,"Thu, 13 Jan 2022 17:53:12 GMT"
84,No Violations,"Thu, 13 Jan 2022 17:53:14 GMT"
85,No Violations,"Thu, 13 Jan 2022 17:53:15 GMT"
86,No Violations,"Thu, 13 Jan 2022 17:53:17 GMT"
87,No Violations,"Thu, 13 Jan 2022 17:53:18 GMT"
88,No Violations,"Thu, 13 Jan 2022 17:53:20 GMT"
89,No Violations,"Thu, 13 Jan 2022 17:53:22 GMT"
90,No Violations,"Thu, 13 Jan 2022 17:53:23 GMT"
91,No Violations,"Thu, 13 Jan 2022 17:53:25 GMT"
92,No Violations,"Thu, 13 Jan 2022 17:53:26 GMT"
93,No Violations,"Thu, 13 Jan 2022 17:53:27 GMT"
94,No Violations,"Thu, 13 Jan 2022 17:53:29 GMT"
95,No Violations,"Thu, 13 Jan 2022 17:53:30 GMT"
96,No Violations,"Thu, 13 Jan 2022 17:53:32 GMT"
97,No Violations,"Thu, 13 Jan 2022 17:53:33 GMT"
98,No Violations,"Thu, 13 Jan 2022 17:53:35 GMT"
99,No Violations,"Thu, 13 Jan 2022 17:53:36 GMT"
100,No Violations,"Thu, 13 Jan 2022 17:53:38 GMT"
101,No Violations,"Thu, 13 Jan 2022 17:53:39 GMT"
102,No Violations,"Thu, 13 Jan 2022 17:53:41 GMT"
103,No Violations,"Thu, 13 Jan 2022 17:53:43 GMT"
104,No Violations,"Thu, 13 Jan 2022 17:53:44 GMT"
105,No Violations,"Thu, 13 Jan 2022 17:53:46 GMT"
106,No Violations,"Thu, 13 Jan 2022 17:53:48 GMT"
107,No Violations,"Thu, 13 Jan 2022 17:53:49 GMT"
108,No Violations,"Thu, 13 Jan 2022 17:53:51 GMT"
109,No Violations,"Thu, 13 Jan 2022 17:53:53 GMT"
110,No Violations,"Thu, 13 Jan 2022 17:53:54 GMT"
111,No Violations,"Thu, 13 Jan 2022 17:53:56 GMT"
112,No Violations,"Thu, 13 Jan 2022 17:53:57 GMT"
113,No Violations,"Thu, 13 Jan 2022 17:53:59 GMT"
114,No Violations,"Thu, 13 Jan 2022 17:54:00 GMT"
115,No Violations,"Thu, 13 Jan 2022 17:54:02 GMT"
116,No Violations,"Thu, 13 Jan 2022 17:54:03 GMT"
117,No Violations,"Thu, 13 Jan 2022 17:54:05 GMT"
118,No Violations,"Thu, 13 Jan 2022 17:54:06 GMT"
119,No Violations,"Thu, 13 Jan 2022 17:54:08 GMT"
120,No Violations,"Thu, 13 Jan 2022 17:54:09 GMT"
121,No Violations,"Thu, 13 Jan 2022 17:54:10 GMT"
122,No Violations,"Thu, 13 Jan 2022 17:54:12 GMT"
123,No Violations,"Thu, 13 Jan 2022 17:54:13 GMT"
124,No Violations,"Thu, 13 Jan 2022 17:54:15 GMT"
125,No Violations,"Thu, 13 Jan 2022 17:54:16 GMT"
126,No Violations,"Thu, 13 Jan 2022 17:54:18 GMT"
127,No Violations,"Thu, 13 Jan 2022 17:54:19 GMT"
128,No Violations,"Thu, 13 Jan 2022 17:54:20 GMT"
129,No Violations,"Thu, 13 Jan 2022 17:54:22 GMT"
130,No Violations,"Thu, 13 Jan 2022 17:54:23 GMT"
131,No Violations,"Thu, 13 Jan 2022 17:54:25 GMT"
132,No Violations,"Thu, 13 Jan 2022 17:54:26 GMT"
133,No Violations,"Thu, 13 Jan 2022 17:54:28 GMT"
134,No Violations,"Thu, 13 Jan 2022 17:54:29 GMT"
135,No Violations,"Thu, 13 Jan 2022 17:54:30 GMT"
136,No Violations,"Thu, 13 Jan 2022 17:54:32 GMT"
137,No Violations,"Thu, 13 Jan 2022 17:54:33 GMT"
138,No Violations,"Thu, 13 Jan 2022 17:54:35 GMT"
139,No Violations,"Thu, 13 Jan 2022 17:54:36 GMT"
140,No Violations,"Thu, 13 Jan 2022 17:54:37 GMT"
141,No Violations,"Thu, 13 Jan 2022 17:54:39 GMT"
142,No Violations,"Thu, 13 Jan 2022 17:54:40 GMT"
143,No Violations,"Thu, 13 Jan 2022 17:54:42 GMT"
144,No Violations,"Thu, 13 Jan 2022 17:54:43 GMT"
145,No Violations,"Thu, 13 Jan 2022 17:54:44 GMT"
146,No Violations,"Thu, 13 Jan 2022 17:54:46 GMT"
147,No Violations,"Thu, 13 Jan 2022 17:54:47 GMT"
148,No Violations,"Thu, 13 Jan 2022 17:54:49 GMT"
149,No Violations,"Thu, 13 Jan 2022 17:54:50 GMT"
150,No Violations,"Thu, 13 Jan 2022 17:54:52 GMT"
151,No Violations,"Thu, 13 Jan 2022 17:54:54 GMT"
152,No Violations,"Thu, 13 Jan 2022 17:54:55 GMT"
153,No Violations,"Thu, 13 Jan 2022 17:54:56 GMT"
154,No Violations,"Thu, 13 Jan 2022 17:54:58 GMT"
155,No Violations,"Thu, 13 Jan 2022 17:55:00 GMT"
156,No Violations,"Thu, 13 Jan 2022 17:55:01 GMT"
157,No Violations,"Thu, 13 Jan 2022 17:55:03 GMT"
158,No Violations,"Thu, 13 Jan 2022 17:55:04 GMT"
159,No Violations,"Thu, 13 Jan 2022 17:55:06 GMT"
160,No Violations,"Thu, 13 Jan 2022 17:55:07 GMT"
161,No Violations,"Thu, 13 Jan 2022 17:55:09 GMT"
162,No Violations,"Thu, 13 Jan 2022 17:55:10 GMT"
163,No Violations,"Thu, 13 Jan 2022 17:55:12 GMT"
164,No Violations,"Thu, 13 Jan 2022 17:55:13 GMT"
165,No Violations,"Thu, 13 Jan 2022 17:55:15 GMT"
166,No Violations,"Thu, 13 Jan 2022 17:55:16 GMT"
167,No Violations,"Thu, 13 Jan 2022 17:55:18 GMT"
168,No Violations,"Thu, 13 Jan 2022 17:55:20 GMT"
169,No Violations,"Thu, 13 Jan 2022 17:55:22 GMT"
170,No Violations,"Thu, 13 Jan 2022 17:55:23 GMT"
171,No Violations,"Thu, 13 Jan 2022 17:55:25 GMT"
172,No Violations,"Thu, 13 Jan 2022 17:55:26 GMT"
173,No Violations,"Thu, 13 Jan 2022 17:55:28 GMT"
174,No Violations,"Thu, 13 Jan 2022 17:55:29 GMT"
175,No Violations,"Thu, 13 Jan 2022 17:55:31 GMT"
176,No Violations,"Thu, 13 Jan 2022 17:55:32 GMT"
177,No Violations,"Thu, 13 Jan 2022 17:55:34 GMT"
178,No Violations,"Thu, 13 Jan 2022 17:55:35 GMT"
179,No Violations,"Thu, 13 Jan 2022 17:55:36 GMT"
180,No Violations,"Thu, 13 Jan 2022 17:55:38 GMT"
181,No Violations,"Thu, 13 Jan 2022 17:55:39 GMT"
182,No Violations,"Thu, 13 Jan 2022 17:55:41 GMT"
183,No Violations,"Thu, 13 Jan 2022 17:55:42 GMT"
184,No Violations,"Thu, 13 Jan 2022 17:55:44 GMT"
185,No Violations,"Thu, 13 Jan 2022 17:55:45 GMT"
186,No Violations,"Thu, 13 Jan 2022 17:55:47 GMT"
